I,Q
0.807291,-0.849362
-1.10956,1.18828
0.354728,0.517431
-0.747985,-0.442124
-0.412106,-0.931441
0.401679,1.09161
0.607362,-0.839008
0.415166,0.675286
-0.700023,0.56327
0.277165,-0.665104
0.82413,0.657059
-0.82096,0.861435
-0.720808,0.292514
-0.662391,-0.511568
-0.952788,-0.983333
0.567648,1.23318
0.804473,-0.745404
-0.604003,-0.67356
0.995672,-1.06174
-0.725095,0.538869
-0.256813,0.999512
-0.314099,-1.01921
0.618227,-1.03299
0.45407,-0.52277
-0.587888,0.656649
0.777788,-0.517595
0.846717,-0.946414
0.372274,-0.642932
-1.05616,-0.664928
0.650094,0.536581
-0.967775,-0.548277
0.76433,0.748653
1.06883,1.04606
0.958963,-0.0584887
0.708462,0.659152
0.673298,0.824318
-0.612502,0.519796
0.828532,0.734962
0.740252,-1.05323
0.856476,-0.658307
-0.570213,0.694735
0.398429,0.417242
0.518665,0.838771
-0.498045,0.80521
-0.731924,0.838338
0.720242,-0.444668
-0.823582,0.310946
0.505887,0.736049
0.591832,-0.603286
0.601314,-0.478966
0.679384,0.80944
-0.53321,0.728955
1.07313,-0.828726
-0.539832,0.708354
1.20875,-0.860497
-0.229111,-0.744229
-0.688721,-0.436485
0.457089,-0.571089
0.711044,-0.756507
0.766558,-0.760078
-0.526141,-0.434706
0.634138,0.499082
-0.78513,-0.818246
0.663034,-1.11486
-0.52247,-0.94728
-0.778649,-0.837562
-0.482115,-0.807685
-0.753447,-0.637216
0.696591,0.308722
-0.406996,-1.03268
0.835388,0.552868
0.64257,0.98701
-0.449872,-1.07763
-0.238766,-0.47643
-0.636586,-0.667167
-0.53016,-0.650054
0.994727,0.77905
-0.754678,-1.0765
-0.282906,-0.901915
0.5598,-0.451395
-0.0174322,0.716063
-0.577853,0.828626
0.624931,0.717451
0.692702,-0.358816
-0.188482,-0.886394
-0.522271,-0.930039
-0.927006,-0.664537
0.787202,0.758082
-0.211765,0.62418
0.850537,-0.733883
0.568071,-0.723315
-0.981893,-1.09514
-0.220417,0.941641
0.510981,-0.299685
-0.945604,0.867832
-0.937432,-1.24974
0.880361,0.66384
0.615025,0.742217
-1.13248,-0.960461
0.524464,-0.772905
0.925906,-0.608957
1.10181,-0.873403
0.482235,-0.74021
-0.842414,-0.642214
-0.937748,0.756342
-0.582739,-0.673593
0.732241,-0.604299
0.508405,0.681207
-0.651732,-0.830618
0.998276,-0.426663
1.09233,0.595819
-1.06369,0.508531
-0.958508,0.737741
-0.745554,0.299563
-0.119696,0.716186
1.10674,0.593165
-1.01861,0.882843
-0.185529,-0.354063
-0.865478,-0.21271
0.363298,-0.791886
0.620276,-0.614075
0.340821,-0.666616
-0.538618,0.835021
-1.14163,-0.440207
-0.762437,0.655455
